,Id,App,Reviews,Rating,Current Version,Category,Type,Size,Price,Content Rating
2458,680581294,Rabbids Big Bang,598,4.5,2.1.5,Games,Paid,190.6M,0.99$,Teen
2459,680733772,Gods Of Rome,5526,4.5,1.4.1,Games,Free,913.6M,0.0$,Everyone 12+
2460,680819774,Google Home,9303,3.5,1.23.905,Entertainment,Free,137.1M,0.0$,Everyone 12+
2461,681370499,Batman: Arkham Origins,27738,4.5,1.2.1,Games,Free,868.6M,0.0$,Teen
2462,681814050,Cut the Rope 2,12376,4.5,1.6.9,Games,Paid,134.6M,1.99$,Everyone
2463,681942253,Talisman,511,4.0,10.5,Games,Paid,70.4M,1.99$,Everyone
2464,681966300,SUBURBIA City Building Board Game,217,4.0,1.2.5,Games,Paid,54.3M,4.99$,Everyone
2465,682046579,The Human Body by Tinybop,1922,4.0,3.0.1,Education,Paid,638.1M,3.99$,Everyone
2470,683942610,My PlayHome Stores,1582,4.5,3.1.1,Entertainment,Paid,185.0M,2.99$,Everyone
2473,685214412,筆姫 - オシャレなグリーティングカード SNS投稿 自宅印刷もOK,0,0.0,7.3.0,Lifestyle,Free,96.4M,0.0$,Everyone
2474,685310398,Voice Recorder (FREE),4640,4.5,2.1,Utilities,Free,40.4M,0.0$,Teen
2475,685675706,Fairway Solitaire Blast,110062,4.5,2.7.13,Games,Free,119.2M,0.0$,Everyone
2476,685857245,Runtastic Six Pack Abs Workout & Core Trainer,4283,4.5,2.6.2,Health & Fitness,Free,126.5M,0.0$,Everyone
2478,686365571,Cops N Robbers (FPS) - Block Survival Multiplayer,27122,4.5,5.3.0,Games,Free,446.0M,0.0$,Everyone 12+
2479,686420990,Spider Solitaire ∙,145,4.5,2.2,Games,Free,59.5M,0.0$,Everyone
2480,686449807,Telegram Messenger,7573,4.0,4.0,Social Networking,Free,68.6M,0.0$,Everyone
2481,686542963,Sonic & All-Stars Racing Transformed,9109,4.0,2.0,Games,Free,1065.3M,0.0$,Everyone
2482,686910560,UC浏览器HD,78,4.0,3.0.1.776,Utilities,Free,57.0M,0.0$,Adults only
2484,687421118,buddhify - modern mindfulness for busy lives,501,4.5,2.6.9,Health & Fitness,Paid,272.1M,4.99$,Everyone
2485,687792357,Squaready for Video - Convert Rectangle Movie Clip into Square Shape for Instagram,778,3.0,1.5.0,Photo & Video,Free,37.1M,0.0$,Everyone
2486,687877464,Stop - Fun Categories Word Game,8516,4.5,3.2.11,Games,Free,99.7M,0.0$,Everyone 12+
2487,687888390,République,7078,4.5,5.03,Games,Paid,3478.0M,1.99$,Everyone 12+
2488,688285246,Doom and Destiny,725,4.5,1.8.3,Games,Paid,157.0M,2.99$,Everyone 12+
2489,688319243,PicLab Studio - Creative Editing & Graphic Design,20200,4.5,2.10,Photo & Video,Paid,51.4M,2.99$,Everyone
2490,688831692,Facetune for iPad,1718,4.5,2.6.3,Photo & Video,Paid,69.3M,5.99$,Everyone
2491,688983474,IQ Test - Pro Edition,529,4.5,5.7,Games,Paid,63.8M,2.99$,Everyone
2492,689165391,"Hopster: Kids TV, Nursery Rhymes, Music, Fun Games",58,3.5,3.12.4,Education,Free,253.3M,0.0$,Everyone
2493,689180123,腾讯欢乐麻将全集,205,3.5,6.8.92,Games,Free,247.4M,0.0$,Everyone 12+
2494,689859603,SlideStory - Create a slideshow movie and a snap video,220,4.5,1.5.7,Photo & Video,Free,52.2M,0.0$,Everyone
2495,689936776,Toca Cars,1238,4.0,1.0.5,Education,Paid,92.7M,2.99$,Everyone
2496,690016261,Mimpi,816,4.5,1.0.4,Games,Free,249.9M,0.0$,Everyone
2497,690106176,Daniel Tiger’s Day & Night,314,3.5,1.0.3,Education,Free,511.2M,0.0$,Everyone
2498,690215614,Disneynature Explore,202,4.0,1.0.0,Entertainment,Free,419.8M,0.0$,Everyone
2499,690602681,JD Sports,18,4.0,5.3.1,Shopping,Free,84.5M,0.0$,Everyone
2500,690802539,ABC Ninja - The Alphabet Slicing Game for Kids,172,4.0,3.0,Education,Paid,18.1M,0.99$,Everyone
2501,690852527,Cascade: Fun Spin and Match Puzzle Game,60488,4.5,1.8.6,Games,Free,94.3M,0.0$,Everyone
2502,691025552,Font Candy+ Typography - Editor Add Text To Photos,9021,4.5,5.0,Photo & Video,Paid,96.9M,2.99$,Everyone
2503,691102150,Octagon - A Minimal Arcade Game with Maximum Challenge,1072,4.5,3.1,Games,Paid,29.1M,1.99$,Everyone
2504,691121579,AdBlock,1477,4.0,2.8.2,Utilities,Paid,18.3M,1.99$,Everyone
2505,691617940,Nowait Guest,1625,3.0,3.1.14,Food & Drink,Free,82.1M,0.0$,Everyone
2506,691797987,Google Play Music,10118,3.5,3.26.1007,Music,Free,78.9M,0.0$,Everyone 12+
2508,692412579,Frozen Free Fall,50593,4.5,5.2.1,Games,Free,259.8M,0.0$,Everyone
2509,692669501,Castle Clash: Brave Squads,47963,4.0,1.8.0,Games,Free,298.2M,0.0$,Teen
2510,692717444,Assassin's Creed Pirates,23895,4.5,2.9.1,Games,Free,739.3M,0.0$,Everyone 12+
2512,693045097,Lost Echo,684,4.5,1.9.12,Games,Paid,585.5M,2.99$,Everyone 12+
2514,693689912,IXL - Math and English,3546,3.0,3.3.8,Education,Free,113.2M,0.0$,Everyone
2516,694047660,"Budget- Expense Tracker,Bill Reminder,Debt Manager",173,4.5,2.13.1,Finance,Paid,135.1M,0.99$,Everyone
2517,694133485,Capital One for iPad,21858,4.5,2.8.0,Finance,Free,88.2M,0.0$,Everyone
2518,694133630,Piano - Play Keyboard Music Games with Magic Tiles,1636,4.5,1.23,Music,Free,112.3M,0.0$,Everyone
2519,694164275,Quik – GoPro Video Editor to edit clips with music,28654,4.5,4.0.1,Photo & Video,Free,201.6M,0.0$,Everyone
2521,694580816,myCANAL - la TV by CANAL en direct et replay,118,4.5,2.2.1,Entertainment,Free,76.0M,0.0$,Everyone 12+
2522,694647259,ProCamera.,1525,4.5,10.3,Photo & Video,Paid,92.0M,4.99$,Everyone
2523,694695717,ULTRA4 Offroad Racing,205,3.5,1.02,Games,Paid,88.0M,1.99$,Everyone
2525,694972182,Ace Fishing: Wild Catch,65831,4.5,2.5.4,Games,Free,214.2M,0.0$,Everyone
2526,695108484,Icycle: On Thin Ice,2347,4.5,2.0.3,Games,Paid,78.9M,2.99$,Everyone
2527,695187101,3D Anatomy,91,4.5,3.0,Medical,Paid,81.0M,3.99$,Everyone 12+
2529,695948278,War Commander: Rogue Assault,3858,4.5,2.15.2,Games,Free,171.4M,0.0$,Everyone 12+
2530,696450432,Electric RC Sim,209,4.5,1.4,Games,Paid,68.6M,2.99$,Everyone
2531,696565994,Shadow Fight 2,99206,4.5,1.9.29,Games,Free,138.0M,0.0$,Everyone 12+
2532,697927927,Calendars 5 - Daily Planner and Task Manager,11768,4.5,5.10.5,Productivity,Paid,73.3M,6.99$,Everyone
2533,697996579,Flick Kick Football Legends,11250,4.5,1.9.83,Games,Free,104.4M,0.0$,Everyone 12+
2535,698054232,Chatous - Chat with new people,1609,3.0,3.8.10,Social Networking,Free,98.3M,0.0$,Everyone 12+
2536,698154775,Fitness and Bodybuilding by VGFIT,364,4.5,5.3.1,Health & Fitness,Paid,63.4M,0.99$,Everyone
2537,698255242,Geometry Dash Lite,370370,5.0,2.11,Games,Free,65.9M,0.0$,Everyone
2538,698925807,QR Code Reader by Scan,1452,4.5,1.7,Utilities,Free,12.1M,0.0$,Everyone
2539,699687299,Feed Me Oil 2,296,4.0,1.3.6,Games,Paid,68.3M,0.99$,Everyone
2540,700227648,Race The Sun,602,4.5,1.02,Games,Paid,144.5M,4.99$,Everyone
2541,700440156,Articulation Test Center Pro,29,4.5,2.6,Education,Paid,166.6M,59.99$,Everyone
2542,700513526,TunesFlow - Music Player with Equalizer,63,4.5,2.0.16,Music,Paid,13.8M,3.99$,Everyone
2543,700637744,Deemo,15855,5.0,3.0.5,Games,Paid,2117.0M,1.99$,Everyone
2544,700653178,Pocket Troops,1005,4.5,1.21.0,Games,Free,491.1M,0.0$,Everyone 12+
2546,700793523,Pandemic: The Board Game,1259,4.5,1.2.5,Games,Paid,69.6M,2.99$,Everyone
2547,700970012,Panda Pop,41214,4.5,5.5.101,Games,Free,251.5M,0.0$,Everyone
2548,701112447,Mindfulness Daily,1245,5.0,1.072,Health & Fitness,Paid,97.0M,1.99$,Everyone
2549,701598884,Magic Tower Touch,91,4.5,1.0.3,Games,Paid,14.9M,0.99$,Everyone
2550,702810576,Slam Dunk Basketball 2 - Play & Do Good,2963,4.5,1.3.4,Games,Free,235.6M,0.0$,Everyone 12+
2551,702871560,100 PICS Coloring - free color in book game app,1929,5.0,1.96,Games,Free,256.8M,0.0$,Everyone
2552,703177890,Ever - Capture Your Memories,12755,4.5,1.56.0,Productivity,Free,128.7M,0.0$,Everyone
2556,705211891,Royal Revolt 2 – Defend Your Castle,25152,4.5,3.2.0,Games,Free,139.8M,0.0$,Teen
2558,706099830,My Boo - Virtual Pet with Mini Games for Kids,55783,4.5,2.6.1,Games,Free,100.3M,0.0$,Everyone
2559,707189889,Starfall FREE,1019,3.5,1.26.010,Education,Free,89.9M,0.0$,Everyone
2560,708142626,Jet Car Stunts 2,1862,3.5,1.0.24,Games,Free,49.1M,0.0$,Everyone
2561,708196645,Oceanhorn ™,4336,4.5,3.0.1,Games,Paid,409.0M,7.99$,Teen
2562,708379313,Bose SoundTouch,3687,4.0,14.80.6,Music,Free,51.7M,0.0$,Everyone 12+
2563,708388097,Dreii,148,4.0,2.0.0,Games,Paid,136.0M,3.99$,Everyone
2564,708600202,WordBrain,391401,4.5,1.21.1,Games,Free,105.5M,0.0$,Everyone
2565,709003148,GANMA! - 漫画が制限ナシで読み放題のマンガアプリ,31,4.5,2.5.2,Book,Free,69.8M,0.0$,Everyone 12+
2567,710380093,QQ International,274,2.0,4.8.4,Social Networking,Free,98.5M,0.0$,Everyone
2568,710535379,"DraftKings - Daily Fantasy Golf, Baseball, & More",20251,4.5,3.9.0,Sports,Free,138.1M,0.0$,Adults only
2569,711074743,FOX Sports GO,13898,3.0,3.5.0,Sports,Free,95.0M,0.0$,Everyone 12+
2570,711455226,Forge of Empires,15617,4.5,1.102.1,Games,Free,132.1M,0.0$,Teen
2571,711923939,Square Cash - Send Money for Free,23775,4.5,2.16,Finance,Free,85.9M,0.0$,Everyone
2572,714086913,Cops N Robbers (Jail Break) - Survival Mini Game,6013,4.0,1.5.1,Games,Free,257.0M,0.0$,Teen
2573,714180827,Star Chart Infinite,257,4.5,1.29,Education,Paid,133.7M,4.99$,Everyone
2574,714463714,"Foundations Memory Work Tutorials, Cycle 2",88,3.5,1.40,Education,Paid,349.7M,15.99$,Everyone
2576,714796093,Cooking Fever,107797,4.5,2.3.1,Games,Free,101.9M,0.0$,Everyone
2577,715441573,PICTLOGICA FINAL FANTASY,154,3.5,1.8.3,Games,Free,340.7M,0.0$,Teen
2578,715822238,Papa's Freezeria HD,2535,4.5,1.1.3,Games,Paid,55.7M,2.99$,Everyone
2579,716262008,SafeTrek - Personal Safety,2227,4.5,2.2.4,Lifestyle,Free,28.9M,0.0$,Everyone
2580,716697016,Driving test 2017,5,3.5,4.8,Education,Free,74.0M,0.0$,Everyone
2582,716932895,Force Saber of Light,5424,4.5,2.5.3,Entertainment,Free,57.4M,0.0$,Everyone
2583,717545062,ZaZa Remote-Universal Remote Control,83,3.0,3.3.0,Utilities,Free,74.0M,0.0$,Everyone
2584,717555969,Jam League,4361,4.5,1.3.4,Games,Free,138.2M,0.0$,Everyone
2585,717628209,一骑当千OL-万人国战（Legend Of Warrior）,151,4.5,2.4.0,Games,Free,371.5M,0.0$,Teen
2586,718043190,Fantastical 2 for iPhone - Calendar and Reminders,5405,4.5,2.8.4,Productivity,Paid,43.0M,4.99$,Everyone
2587,718082838,Toca Mini,536,4.0,1.0.3,Education,Paid,508.3M,2.99$,Everyone
2589,718153412,Swamp Attack,16968,4.5,2.1.5,Games,Free,118.0M,0.0$,Adults only
2590,718421443,QuizUp™,72989,4.5,3.2.7,Games,Free,132.6M,0.0$,Everyone 12+
2591,719219382,Epic! - Unlimited Books for Kids,6676,4.5,3.01,Education,Free,158.3M,0.0$,Everyone
2592,719320397,Dominos Pro,1072,4.5,2.5,Games,Paid,51.6M,1.99$,Everyone
2593,719401490,FINAL FANTASY VI,2998,4.5,2.0.4,Games,Paid,665.8M,14.99$,Teen
2595,719829352,FireChat,1037,3.0,8.0.12,Social Networking,Free,14.3M,0.0$,Everyone 12+
2596,719858778,minimo（ミニモ）/サロン予約,0,0.0,6.2.5,Catalogs,Free,22.6M,0.0$,Adults only
2597,719972451,DoorDash - Food Delivery,25947,4.5,3.0.18,Food & Drink,Free,95.9M,0.0$,Everyone
2598,720068876,Touchgrind Skate 2,2816,4.5,1.5,Games,Paid,160.3M,4.99$,Everyone
2600,720111744,ダイエット女子が痩せた魔法のアプリ-食事・運動・美容＠DIET,0,0.0,1.14,Health & Fitness,Free,16.5M,0.0$,Everyone
2601,720208070,Block Fortress: War,1889,4.5,1.2.4,Games,Paid,430.4M,1.99$,Everyone 12+
2602,720656825,Broken Sword 5 - the Serpent's Curse,199,4.0,1.14,Games,Paid,1853.8M,6.99$,Everyone 12+
2603,720725216,Blocky Roads,3282,4.5,1.2.3,Games,Paid,49.4M,0.99$,Everyone
2604,720825227,Optical Inquisitor 17+,12099,5.0,1.5,Games,Paid,52.3M,0.99$,Adults only
2605,721512660,comico/人気オリジナル漫画が毎日更新！/コミコ,62,4.5,4.4.1,Book,Free,70.5M,0.0$,Everyone 12+
2606,721623681,G1牧場ステークス,0,0.0,2.02,Games,Paid,181.1M,4.99$,Everyone
2607,721639879,Trial Xtreme 4,3403,4.0,1.97,Games,Free,893.0M,0.0$,Everyone
2608,721911537,The Occupant,155,4.5,1.1,Games,Paid,76.8M,0.99$,Teen
2609,722217471,Hidden City®: Mystery of Shadows,37304,4.5,1.13.1301,Games,Free,98.7M,0.0$,Teen
2610,723134859,"Ebates: Cash Back, Coupons & Rebate Shopping App",12617,5.0,4.15.0,Shopping,Free,103.1M,0.0$,Everyone
2611,723322796,FizzUp – Online Fitness Trainer,5,5.0,1.21.2,Health & Fitness,Free,118.4M,0.0$,Everyone
2612,723795263,Trivia Crack (No Ads),77370,4.5,2.40,Games,Paid,235.9M,2.99$,Everyone
2613,724295527,Pitu,968,5.0,4.9.2,Photo & Video,Free,97.4M,0.0$,Everyone
2615,724786142,"Funny Veggies! Educational games for children and babies: logic, counting, colors, sums. Development for preschoolers, activities for kids (2, 3, 4, 5 year: baby, boy and girl)!",6,3.5,1.3,Education,Paid,104.2M,3.99$,Everyone
2616,724816878,Lep's World 3,11341,4.5,1.8.9,Games,Free,81.2M,0.0$,Everyone
2617,725097967,"Flipp - Weekly Ads, Shopping List, and Coupons",6677,4.5,6.0.3,Shopping,Free,88.1M,0.0$,Everyone
2618,725208930,WEAR - Fashion Lookbook,66,4.0,4.11.0,Shopping,Free,93.7M,0.0$,Everyone
2619,725222008,"Police Lights 3 - Fire Truck, Police and Paramedic Sirens",12,2.5,1.1.4,Entertainment,Paid,36.0M,0.99$,Everyone
2620,725222149,Battle Supremacy,3124,4.0,1.3.0,Games,Paid,1029.5M,4.99$,Everyone 12+
2621,725440538,Christmas Countdown 2017,334,4.5,6.1,Entertainment,Free,52.9M,0.0$,Everyone
2622,726115780,それゆけ！ヤンキッキー,0,0.0,3.1,Games,Free,53.9M,0.0$,Everyone
2623,726147252,Sunday Lawn Seasons,1420,4.5,1.04.1,Games,Paid,14.6M,0.99$,Everyone
2624,726895069,FACIE,514,3.5,3.4,Photo & Video,Free,33.6M,0.0$,Everyone
2625,727109676,TCS NYC Marathon,43,3.5,4.2,Sports,Free,28.5M,0.0$,Adults only
2626,727296976,Cookie Jam,52831,4.5,6.50.110,Games,Free,141.5M,0.0$,Everyone
2627,727420266,LEGO® Star Wars™:  The Complete Saga,19340,4.0,1.9.15,Games,Free,825.5M,0.0$,Teen
2628,727466621,THE KING OF FIGHTERS '97,681,4.5,1.1,Games,Paid,102.0M,2.99$,Everyone 12+
2631,728293409,Monument Valley,24909,4.5,2.4.60,Games,Paid,642.1M,3.99$,Everyone
2633,729686081,Pan Book 2: Chasing the Keeper,394,4.5,3.3.1,Book,Paid,755.8M,5.99$,Everyone
2635,730091131,Green Screen by Do Ink,257,3.5,2.3.4,Education,Paid,26.7M,2.99$,Everyone
2636,730148796,Hue Halloween for Philips Hue,54,3.5,1.8,Entertainment,Paid,82.9M,1.99$,Teen
2638,730712409,ProCam 4 - Manual Camera + RAW,5150,4.5,8.9,Photo & Video,Paid,43.0M,4.99$,Everyone
2640,730873197,Toca Hair Salon Me,895,4.0,1.0.3,Entertainment,Paid,126.1M,2.99$,Everyone
2641,730878935,Christmas Dentist Doctor Kid Games (Girls & Boys),6917,4.5,1.6,Games,Free,36.3M,0.0$,Everyone
2642,730919094,Double Dragon Trilogy,427,4.0,1.2,Games,Paid,127.3M,2.99$,Everyone 12+
2643,731041554,Sago Mini Ocean Swimmer,690,4.5,1.5,Education,Paid,180.6M,2.99$,Everyone
2644,731592936,Disney Magic Kingdoms,17213,4.0,2.1.1,Games,Free,446.6M,0.0$,Everyone
2645,731629156,XFINITY Stream,14198,3.0,4.2.1,Entertainment,Free,129.9M,0.0$,Everyone 12+
2646,731645633,Hitman GO,8673,4.5,1.12.9,Games,Paid,1047.2M,4.99$,Teen
2647,732908963,Disney Applause,1654,2.0,1.8,Entertainment,Free,13.5M,0.0$,Adults only
2648,733144873,秀色秀场-网红直播 聊天交友,6,2.5,8.0.8,Social Networking,Free,84.5M,0.0$,Adults only
2650,733989611,Timeline Builder: Create Custom Timelines,21,2.5,2.1.1,Education,Paid,16.1M,1.99$,Everyone
2651,734256893,SHOWROOM - video live streaming,20,5.0,4.4.5,Entertainment,Free,108.3M,0.0$,Adults only
2654,735127946,GhostCallDX,0,0.0,1.0.23,Education,Free,76.5M,0.0$,Everyone
2655,735128536,God of Light,3542,4.5,1.2,Games,Paid,305.9M,1.99$,Everyone
2656,735434007,Super Why! Phonics Fair,72,3.0,2.3,Education,Paid,112.0M,3.99$,Everyone
2657,735752897,Beat the Boss 3 (17+),507,4.5,2.0.0,Games,Paid,328.1M,0.99$,Adults only
2658,735945527,Cut the Rope: Time Travel Free,4327,4.0,1.1.0,Games,Free,116.9M,0.0$,Everyone
2660,736179781,Xbox,72187,4.5,1705.522.332,Entertainment,Free,106.6M,0.0$,Everyone 12+
2663,736579117,Raildale - Railroad & Railway Building Game,61,4.0,1.5.8,Games,Paid,16.1M,2.99$,Everyone
2664,736683061,A Dark Room,29540,4.5,2.33,Games,Paid,25.5M,0.99$,Everyone 12+
2665,736741821,Arise: Beat Procrastination & dominate todo lists!,52,4.0,3.1,Productivity,Paid,7.5M,2.99$,Teen
2666,737006024,LEGO® Marvel Super Heroes: Universe in Peril,1784,4.0,1.4,Games,Paid,1206.6M,4.99$,Teen
2667,737310995,美团外卖-甜点生鲜等零食配送，鲜花蛋糕准时必达,225,4.5,5.6.0,Food & Drink,Free,69.5M,0.0$,Everyone
2668,738201550,"FandangoNOW - Movies + TV - anytime, anywhere",787,2.0,2.2.5,Entertainment,Free,104.7M,0.0$,Everyone 12+
2669,738717933,Farming Simulator 14,3615,4.0,1.3.2,Games,Free,127.0M,0.0$,Everyone
2670,738897668,VivaVideo - Best Video Editor & Photo Movie Maker,10618,4.5,5.8.2,Photo & Video,Free,129.9M,0.0$,Everyone
2671,739234325,Ski Safari: Adventure Time - Stunt Skiing Endless Runner with Finn and BMO,3699,4.5,1.5.5,Games,Paid,301.0M,0.99$,Everyone
2672,739787904,美男美女診断,0,0.0,2.0.3,Entertainment,Free,13.6M,0.0$,Everyone
2674,739836039,Literacy Leveler,196,3.5,2.0.1,Education,Paid,2.3M,4.99$,Everyone
2675,740602894,Detective Grimoire,439,4.5,1.0.2,Games,Paid,160.4M,1.99$,Teen
2676,741224931,Dr. Panda Bus Driver,536,4.5,1.3,Education,Paid,165.8M,2.99$,Everyone
2677,741224942,Dr. Panda Home,691,4.5,1.6,Education,Paid,298.1M,2.99$,Everyone
2678,741292507,Red－shop the world,768,4.5,4.21,Shopping,Free,61.3M,0.0$,Everyone
2679,741293420,PDF Pro 2 - The ultimate PDF app,149,4.0,2.2.7,Business,Paid,34.5M,4.99$,Adults only
2680,741597322,我的密码-极简账号备忘录，安全记录管家,2,5.0,2.3,Productivity,Paid,3.7M,1.99$,Everyone
2684,742625884,Blek,20144,4.5,1.7,Games,Paid,113.4M,2.99$,Everyone
2686,743974925,"PDF Expert 6: Read, annotate & edit PDF documents",15248,4.5,6.0.3,Productivity,Paid,117.9M,9.99$,Everyone
2688,744189889,bergfex/Ski PRO,9,4.0,2.4.2,Weather,Paid,32.3M,2.99$,Everyone
2689,744769918,MONSTER HUNTER FREEDOM UNITE for iOS,2170,4.5,1.00.11,Games,Paid,1162.8M,14.99$,Everyone 12+
2690,744851208,Pocket Stables,160,4.5,2.02,Games,Paid,181.1M,4.99$,Everyone
2691,744882019,GraphNCalc83,311,4.5,1.6,Education,Paid,13.6M,6.99$,Everyone
2693,745729888,Team Umizoomi: Math Racer HD,169,3.5,1.2,Education,Paid,371.0M,4.99$,Everyone
2694,746894884,Google Play Movies & TV,1195,3.0,2.10.0106,Entertainment,Free,61.9M,0.0$,Everyone 12+
2696,747779910,MixChannel,6,4.0,5.0.5,Photo & Video,Free,104.8M,0.0$,Adults only
2697,748048441,Alpha Omega,2892,4.5,3.1.1,Games,Free,171.9M,0.0$,Everyone
2698,748057890,Toca Lab: Elements,1689,4.0,1.1.0,Entertainment,Paid,171.0M,2.99$,Everyone
2699,749046891,Wallpapers for Me - Themes & Background Images,16925,4.5,4.4,Entertainment,Free,76.3M,0.0$,Everyone
2700,749057895,Pimp Your Screen - Custom Themes & Wallpapers,6424,4.5,4.2,Lifestyle,Paid,77.6M,1.99$,Everyone
2701,749078962,"Weather Live - Weather Forecast, Radar and Alerts",28497,4.5,5.4,Weather,Paid,54.9M,4.99$,Everyone
2703,749083919,Weather Live Free - Weather Forecast & Alerts,35702,4.5,5.3,Weather,Free,96.8M,0.0$,Everyone
2704,749094885,Emoji Keyboard for Me - Free Emoji Keyboard Themes,4162,4.5,6.4,Utilities,Free,145.0M,0.0$,Everyone
2705,749094938,Emoji Keyboard for Me - Keyboard Themes & Emojis,2167,4.0,6.4,Utilities,Paid,140.5M,2.99$,Everyone
2706,749109884,Pimp Your Sound,425,4.0,2.6,Music,Paid,56.3M,1.99$,Everyone
2707,749113886,Calculator Pro for iPad - Scientific Calculator,6645,4.5,4.8,Utilities,Paid,64.9M,2.99$,Everyone
2708,749118884,Calculator Pro for iPad Free - Smart Calculator,47803,4.5,4.9,Utilities,Free,85.0M,0.0$,Everyone
2709,749124884,Alarm Clock for Me - Best Wake Up Music & Clock,4959,4.0,2.17,Utilities,Free,114.4M,0.0$,Everyone
2710,749125114,Alarm Clock for Me - Sleep Timer & Event Countdown,1635,4.0,3.1,Utilities,Paid,70.8M,3.99$,Everyone
2711,749132901,"Notepad+: Take Notes, Annotate and Write on PDF",6288,4.5,3.9,Productivity,Paid,60.5M,14.99$,Everyone
2712,749133301,NOAA Radar Pro – Weather Alerts & Forecast,28032,4.5,3.16,Weather,Paid,78.9M,3.99$,Everyone
2713,749133753,NOAA Weather Radar - Weather Forecast & HD Radar,45696,4.5,3.17,Weather,Free,103.2M,0.0$,Everyone
2714,749969909,Serato Remote Mini,50,3.0,1.0.1,Music,Paid,4.4M,4.99$,Everyone
2717,753237901,スタバで呪文,0,0.0,2.8,Food & Drink,Free,41.3M,0.0$,Everyone
2718,754105884,NightCap Camera,128,4.0,9.0,Photo & Video,Paid,6.3M,1.99$,Everyone
2719,755018884,新概念英语2015最新版-英美全四册,6,5.0,2.0,Education,Paid,453.6M,0.99$,Everyone
2720,756869261,InstaVideo Pro - Add background music to videos,51,2.0,2.2.2,Utilities,Paid,4.0M,1.99$,Everyone
2721,757228497,Skateboard Party 2,187,4.5,1.12,Games,Paid,1234.2M,1.99$,Everyone 12+
2722,757843896,Cursive Writing Wizard - Kids Learn to Write Letters & Words,121,5.0,3.0.2,Education,Paid,50.0M,4.99$,Everyone
2723,758453889,AJ Jump: Animal Jam Kangaroos!,834,4.5,1.6,Games,Paid,152.8M,1.99$,Everyone
2724,760018895,Calculator HD - the missing calculator on your iPad,42,4.5,3.0,Utilities,Paid,2.9M,1.99$,Everyone
2725,760295036,Weaphones: Firearms Simulator Volume 2,481,4.5,1.3.0,Games,Paid,33.6M,2.99$,Everyone 12+
2727,760645916,Skyline Skaters,11785,4.5,2.16.1,Games,Free,148.2M,0.0$,Everyone
2728,761363261,Pakka Pets Village - Build a Cute Virtual Pet Town,11933,4.5,2.0.11,Games,Free,195.5M,0.0$,Everyone
2729,761980429,戦国乙女〜剣戟に舞う白き剣聖〜,0,0.0,1.0.4,Games,Paid,1341.0M,14.99$,Adults only
2730,762124422,スナイパイ72,0,0.0,1.0.1,Games,Paid,777.9M,0.99$,Everyone 12+
2731,762630884,"Blokus™ – Attack, Block & Defend!",423,3.5,1.2.0,Games,Paid,103.6M,1.99$,Everyone
2732,763225933,MetaMoJi Note Lite,93,4.0,3.9.3,Productivity,Free,101.5M,0.0$,Everyone
2734,763692274,Grand Theft Auto: San Andreas,32533,4.0,2.0,Games,Paid,1965.0M,6.99$,Adults only
2736,764925064,Waterlogue,1827,4.5,1.3.1,Photo & Video,Paid,53.1M,3.99$,Everyone
2738,765224318,7 Minute Workout Challenge HD for iPad,258,4.5,1.4,Health & Fitness,Paid,110.9M,2.99$,Everyone
2739,765256153,Hard Time VIP (Prison Sim),276,4.0,1.36,Games,Paid,45.7M,4.99$,Adults only
2741,766354752,AngerForce - Strikers,22,3.5,1.36,Games,Paid,292.9M,3.99$,Teen
2742,766396167,Power Ping Pong,69,3.5,1.2.1,Games,Paid,708.4M,4.99$,Everyone
2743,766695512,懂球帝 - 足球迷必备神器,439,4.5,5.6,Sports,Free,74.1M,0.0$,Everyone 12+
2744,766894692,Disney Movies Anywhere: Watch Your Disney Movies!,15900,3.5,1.7.8,Entertainment,Free,77.3M,0.0$,Everyone 12+
2745,767268733,"FXNOW - Full Episodes, Movies, and Stream Live TV",9496,3.0,1.11,Entertainment,Free,68.2M,0.0$,Everyone 12+
2746,767319014,Angry Birds Epic RPG,84680,4.5,2.1.2,Games,Free,554.6M,0.0$,Everyone
2747,767473889,Criminal Case,63291,4.5,1.16,Games,Free,125.8M,0.0$,Everyone 12+
2748,767546279,Spider: Rite of the Shrouded Moon,155,4.5,1.1.1,Games,Paid,866.1M,4.99$,Teen
2749,768160271,航旅纵横PRO-官方航班动态、手机值机、机票,197,4.5,2.2.7,Travel,Paid,69.1M,0.99$,Adults only
2750,768237041,TV App,195,4.5,2.1,Lifestyle,Paid,0.9M,0.99$,Adults only
2751,768469908,YouCam Perfect - Photo & Selfie Editor,4293,4.5,5.20.1,Photo & Video,Free,125.5M,0.0$,Everyone
2752,768591497,MiP App,4350,4.5,1.2.2,Entertainment,Free,91.7M,0.0$,Everyone
2753,768592885,宜搜小说-亿万网友共享高品质阅读离线追更,201,4.5,2.17.0,Book,Free,40.2M,0.0$,Adults only
2754,768592901,Hide N Seek : Mini Multiplayer Game,10358,4.0,4.6,Games,Free,176.4M,0.0$,Everyone 12+
2755,768620766,合戦!!にんじゃ村,0,0.0,2.00,Games,Paid,177.5M,4.99$,Everyone
2757,769175514,Stick & MojiMe New,10,1.5,2.7.1,Lifestyle,Paid,61.8M,0.99$,Everyone 12+
2759,769737983,Bowling King,60271,4.5,1.40.23,Games,Free,166.4M,0.0$,Everyone
2760,770177884,Microtrip,1551,4.5,1.5.1,Games,Free,31.1M,0.0$,Everyone
